
2021-11-10 09:59:05.342282, 127.0.0.1, Chile, Marte, Unknown, Unknown
2021-11-10 10:06:07.945781, 127.0.0.1, Chile, Marte, Unknown, Unknown
2021-12-23 04:43:41.590679, 179.6.202.111, Peru, Lima, -12.0464, -77.0428
2021-12-23 17:13:18.500685, 179.6.202.111, Peru, Lima, -12.0464, -77.0428
2022-01-03 16:35:10.895532, 181.176.120.29, Peru, Lima region, -12.0975, -77.0138
2022-01-04 01:21:30.268476, 179.6.193.18, Peru, Lima, -12.0464, -77.0428
2022-01-04 01:22:10.094727, 179.6.193.18, Peru, Lima, -12.0464, -77.0428
2022-01-04 01:22:11.541245, 186.160.223.4, Peru, Lima, -12.0464, -77.0428
2022-01-04 02:45:57.197403, 179.6.193.18, Peru, Lima, -12.0464, -77.0428
2022-01-04 02:46:37.181611, 179.6.193.18, Peru, Lima, -12.0464, -77.0428
2022-01-05 01:26:06.968981, 179.6.193.18, Peru, Lima, -12.0464, -77.0428
2022-01-05 01:26:10.557519, 179.6.193.18, Peru, Lima, -12.0464, -77.0428
2022-01-05 01:26:12.312905, 179.6.193.18, Peru, Lima, -12.0464, -77.0428
2022-01-05 01:36:55.945206, 179.6.193.18, Peru, Lima, -12.0464, -77.0428
2022-01-05 01:39:28.915380, 179.6.193.18, Peru, Lima, -12.0464, -77.0428
2022-01-05 02:13:25.503701, 179.6.193.18, Peru, Lima, -12.0464, -77.0428
2022-01-05 03:51:47.958165, 179.6.193.18, Peru, Lima, -12.0464, -77.0428
2022-01-05 03:52:00.931694, 179.6.193.18, Peru, Lima, -12.0464, -77.0428
